Day,Away,Home,RA,RH,Inn
6,149,PHI,TBR,3,5,9
6,149,STL,ARI,7,4,9
6,149,COL,PIT,0,7,7
6,149,COL,PIT,0,4,7
6,149,SFG,LAD,11,6,9
6,149,CIN,CHC,2,10,9
6,149,MIL,WSN,4,1,7
6,149,MIL,WSN,6,2,7
6,149,ATL,NYM,2,13,9
0,150,TEX,SEA,2,4,9
0,150,SDP,HOU,4,7,9
0,150,LAA,OAK,4,2,9
0,150,BAL,CHW,1,3,9
0,150,TOR,CLE,4,1,7
0,150,TOR,CLE,5,6,7
0,150,NYY,DET,2,6,9
0,150,KCR,MIN,6,3,9
0,150,PHI,TBR,2,6,9
