Day,Away,Home,RA,RH,Inn
0,120,SFG,SDP,4,6,9
0,120,CHC,MIA,3,4,9
0,120,PIT,WSN,2,7,9
1,121,SFG,HOU,3,7,9
1,121,CLE,NYY,3,2,9
1,121,TOR,BOS,5,6,9
1,121,PHI,LAD,4,13,9
1,121,CIN,SDP,3,8,9
1,121,CHC,WSN,5,1,9
1,121,ATL,NYM,9,8,9
1,121,ATL,NYM,3,5,9
2,122,SEA,OAK,2,1,9
2,122,SFG,HOU,2,0,9
2,122,LAA,STL,5,1,9
2,122,ARI,TEX,4,6,9
2,122,MIN,CHW,2,3,10
2,122,CLE,NYY,2,4,9
2,122,BAL,KCR,11,7,9
2,122,TOR,BOS,6,7,9
2,122,PIT,TBR,1,4,9
2,122,MIL,COL,2,3,9
2,122,PHI,LAD,1,13,9
2,122,CIN,SDP,2,1,10
2,122,CHC,WSN,1,4,9
2,122,ATL,MIA,6,0,9
3,123,SEA,OAK,7,2,10
3,123,SFG,HOU,4,2,9
3,123,LAA,STL,6,4,9
3,123,ARI,TEX,12,7,9
3,123,MIN,CHW,4,6,9
3,123,CLE,NYY,3,4,10
3,123,NYM,DET,5,6,9
3,123,NYM,DET,1,8,9
3,123,BAL,KCR,0,6,9
3,123,TOR,BOS,3,8,9
3,123,PIT,TBR,1,8,9
3,123,MIL,COL,1,7,9
3,123,PHI,LAD,6,10,9
3,123,CIN,SDP,1,7,9
3,123,CHC,WSN,1,2,9
3,123,ATL,MIA,14,6,9
4,124,SEA,OAK,5,3,9
4,124,LAA,STL,11,7,9
4,124,MIN,CHW,7,3,12
4,124,NYM,DET,0,2,9
4,124,BAL,KCR,13,10,9
4,124,TOR,BOS,5,11,9
4,124,PIT,TBR,2,3,9
4,124,MIL,COL,6,9,9
4,124,CHC,WSN,3,4,9
4,124,ATL,MIA,6,3,9
5,125,HOU,SEA,6,4,9
5,125,OAK,KCR,12,8,9
5,125,TEX,LAA,4,5,10
5,125,CHW,CIN,5,4,9
5,125,MIN,CLE,2,0,9
5,125,DET,STL,5,4,9
5,125,BAL,ATL,9,4,9
5,125,BOS,PHI,5,3,9
5,125,NYY,TBR,4,5,9
5,125,TOR,PIT,4,0,9
5,125,WSN,ARI,1,3,9
5,125,COL,NYM,0,1,9
5,125,LAD,SDP,2,5,9
5,125,MIL,SFG,4,6,9
5,125,MIA,CHC,1,4,9
6,126,HOU,SEA,5,7,9
6,126,OAK,KCR,5,4,9
6,126,TEX,LAA,10,1,9
6,126,CHW,CIN,3,5,9
6,126,MIN,CLE,3,4,9
6,126,DET,STL,6,5,10
6,126,BAL,ATL,4,5,9
6,126,BOS,PHI,7,4,9
6,126,NYY,TBR,3,2,9
6,126,TOR,PIT,8,2,9
6,126,WSN,ARI,7,8,9
6,126,COL,NYM,5,2,9
6,126,LAD,SDP,2,1,9
6,126,MIL,SFG,1,4,9
6,126,MIA,CHC,2,4,9
0,127,HOU,SEA,1,3,9
0,127,OAK,KCR,1,5,9
0,127,TEX,LAA,16,8,9
0,127,CHW,CIN,17,4,9
0,127,MIN,CLE,0,2,9
0,127,DET,STL,6,12,9
0,127,BAL,ATL,2,3,12
0,127,BOS,PHI,1,6,9
0,127,NYY,TBR,7,8,10
0,127,TOR,PIT,10,1,9
0,127,WSN,ARI,9,8,9
0,127,COL,NYM,13,6,9
0,127,LAD,SDP,5,2,10
0,127,MIL,SFG,7,3,9
0,127,MIA,CHC,5,4,14
1,128,TEX,SEA,2,1,9
1,128,HOU,LAA,4,6,9
1,128,OAK,NYY,2,7,9
1,128,CHW,KCR,5,12,9
1,128,DET,CLE,6,2,9
1,128,TBR,BAL,3,0,9
1,128,MIA,ARI,2,5,9
1,128,COL,PIT,0,2,9
1,128,LAD,MIL,3,9,9
1,128,WSN,SFG,5,1,9
1,128,STL,CHC,3,1,9
2,129,TEX,SEA,0,5,9
2,129,HOU,LAA,3,1,9
2,129,OAK,NYY,5,10,9
2,129,CHW,KCR,4,2,9
2,129,DET,CLE,0,2,9
2,129,SDP,MIN,6,1,9
2,129,TBR,BAL,2,4,9
2,129,BOS,ATL,3,9,9
2,129,TOR,PHI,4,8,9
2,129,MIA,ARI,6,2,9
2,129,COL,PIT,10,1,9
2,129,LAD,MIL,6,2,9
2,129,WSN,SFG,1,4,9
2,129,STL,CHC,6,4,9
2,129,NYM,CIN,6,7,9
3,130,TEX,SEA,4,3,9
3,130,HOU,LAA,5,4,9
3,130,OAK,NYY,3,11,9
3,130,CHW,KCR,1,9,9
3,130,DET,CLE,5,0,9
3,130,SDP,MIN,3,4,11
3,130,TBR,BAL,1,2,9
3,130,BOS,ATL,5,2,9
3,130,TOR,PHI,1,2,10
3,130,MIA,ARI,5,4,9
3,130,COL,PIT,4,3,9
3,130,LAD,MIL,8,1,9
3,130,WSN,SFG,11,6,9
3,130,STL,CHC,4,10,9
3,130,NYM,CIN,2,1,9
4,131,TEX,OAK,4,0,9
4,131,CHW,KCR,3,4,9
4,131,SDP,MIN,3,5,9
4,131,TBR,NYY,8,2,9
4,131,SFG,ARI,6,2,9
4,131,NYM,CIN,0,5,9
5,132,SEA,DET,9,2,9
5,132,HOU,CHW,5,1,9
5,132,TEX,OAK,7,9,10
5,132,LAA,CLE,5,4,9
5,132,KCR,MIL,1,5,9
5,132,CHC,MIN,6,2,9
5,132,PIT,BAL,3,6,9
5,132,STL,BOS,8,6,9
5,132,TBR,NYY,5,6,9
5,132,ATL,TOR,0,3,9
5,132,SFG,ARI,5,7,9
5,132,PHI,COL,6,3,9
5,132,SDP,LAD,2,4,9
5,132,CIN,MIA,7,4,9
5,132,NYM,WSN,3,2,9
6,133,SEA,DET,5,0,9
6,133,HOU,CHW,1,3,9
6,133,TEX,OAK,5,0,9
6,133,LAA,CLE,6,8,9
6,133,KCR,MIL,3,4,9
6,133,CHC,MIN,1,11,9
6,133,PIT,BAL,0,2,9
6,133,STL,BOS,4,3,9
6,133,TBR,NYY,8,9,9
6,133,ATL,TOR,2,5,9
6,133,SFG,ARI,2,7,9
6,133,PHI,COL,7,4,9
6,133,SDP,LAD,2,4,9
6,133,CIN,MIA,6,5,9
6,133,NYM,WSN,2,3,9
0,134,SEA,DET,3,5,9
0,134,HOU,CHW,4,3,9
0,134,TEX,OAK,11,3,9
0,134,LAA,CLE,3,4,9
0,134,KCR,MIL,6,9,9
0,134,CHC,MIN,3,16,9
0,134,PIT,BAL,4,0,9
0,134,STL,BOS,9,1,9
0,134,TBR,NYY,8,7,9
0,134,ATL,TOR,5,6,9
0,134,SFG,ARI,1,2,9
0,134,PHI,COL,0,4,9
0,134,SDP,LAD,0,4,9
0,134,CIN,MIA,1,3,9
0,134,NYM,WSN,8,2,9
1,135,SEA,BOS,10,1,9
1,135,CHC,HOU,4,6,9
1,135,ARI,OAK,5,2,9
1,135,LAA,BAL,9,5,9
1,135,ATL,TEX,12,0,9
1,135,KCR,SDP,0,4,9
1,135,MIN,LAD,8,9,12
1,135,NYY,TOR,7,4,9
1,135,CIN,COL,8,9,9
1,135,PHI,SFG,3,6,9
1,135,MIL,STL,1,18,9
1,135,NYM,WSN,3,10,9
2,136,SEA,BOS,4,9,9
2,136,CHC,HOU,3,7,9
2,136,ARI,OAK,8,9,12
2,136,LAA,BAL,3,7,9
2,136,ATL,TEX,4,7,9
2,136,CLE,CHW,3,8,9
2,136,PIT,DET,0,4,9
2,136,KCR,SDP,5,4,9
2,136,MIN,LAD,5,1,9
2,136,NYY,TOR,6,3,9
2,136,TBR,NYM,8,5,9
2,136,CIN,COL,3,1,9
2,136,PHI,SFG,3,4,9
2,136,MIL,STL,3,2,9
2,136,WSN,MIA,4,5,9
3,137,SEA,BOS,3,12,9
3,137,CHC,HOU,6,7,9
3,137,ARI,OAK,5,3,9
3,137,LAA,BAL,1,3,9
