['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Trinity (CT)']
['W', 'Bucknell', 'Dickinson']
['W', 'Cornell', 'Trinity (CT)']
['W', 'Harvard', 'Dartmouth']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Wesleyan (CT)', 'Columbia']
['W', 'Franklin & Marshall', 'Bucknell']
['W', 'Pennsylvania', 'Columbia']
['W', 'Princeton', 'Lafayette']
['W', 'Wesleyan (CT)', 'Amherst']
['W', 'Yale', 'Williams']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Pennsylvania', 'Franklin & Marshall']
['W', 'Princeton', 'Lehigh']
['W', 'Williams', 'Trinity (CT)']
['W', 'Yale', 'Amherst']
['W', 'Amherst', 'Cornell']
['W', 'Pennsylvania', 'Virginia']
['W', 'Franklin & Marshall', 'Dickinson']
['W', 'Harvard', 'Cornell']
['W', 'Lehigh', 'Lafayette']
['W', 'Princeton', 'Virginia']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Lehigh', 'Rutgers']
['W', 'Princeton', 'Columbia']
['W', 'Wesleyan (CT)', 'Cornell']
['W', 'Amherst', 'Dartmouth']
['W', 'Cornell', 'Bucknell']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Rutgers']
['W', 'Virginia', 'Dickinson']
['W', 'Harvard', 'Amherst']
['W', 'Lehigh', 'Lafayette']
['W', 'Princeton', 'Wesleyan (CT)']
['T', 'Columbia', 'Rutgers']
['W', 'Williams', 'Dartmouth']
['W', 'Yale', 'Pennsylvania']
['W', 'Virginia', 'Lafayette']
['W', 'Cornell', 'Columbia']
['W', 'Franklin & Marshall', 'Bucknell']
['W', 'Harvard', 'Yale']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Pennsylvania', 'Wesleyan (CT)']
['W', 'Yale', 'Princeton']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Bucknell', 'Lafayette']
['W', 'Lehigh', 'Bucknell']
['W', 'Brown', 'MIT']
['W', 'Trinity (CT)', 'Springfield']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Penn State', 'Lafayette']
['W', 'Harvard', 'Dartmouth']
['W', 'Lehigh', 'Penn State']
['W', 'Princeton', 'Rutgers']
['W', 'Trinity (CT)', 'Brown']
['T', 'Amherst', 'Williams']
['W', 'Princeton', 'Lehigh']
['W', 'Yale', 'Trinity (CT)']
['W', 'Bucknell', 'Cornell']
['W', 'Harvard', 'Amherst']
['W', 'Lehigh', 'Franklin & Marshall']
['W', 'Pennsylvania', 'Haverford']
['W', 'Wesleyan (CT)', 'Springfield']
['W', 'Yale', 'Williams']
['T', 'Dartmouth', 'Amherst']
['W', 'Harvard', 'MIT']
['W', 'Lafayette', 'Haverford']
['W', 'Princeton', 'Lehigh']
['W', 'Trinity (CT)', 'Massachusetts']
['W', 'Yale', 'Springfield']
['W', 'Cornell', 'Stevens']
['W', 'Harvard', 'Williams']
['W', 'Lehigh', 'Rutgers']
['W', 'Princeton', 'Franklin & Marshall']
['W', 'Springfield', 'Amherst']
['W', 'Trinity (CT)', 'Wesleyan (CT)']
['W', 'Princeton', 'Lafayette']
['W', 'Amherst', 'Massachusetts']
['W', 'Pennsylvania', 'Rutgers']
['W', 'Stevens', 'Columbia']
['W', 'Trinity (CT)', 'MIT']
['W', 'Cornell', 'Lafayette']
['W', 'Harvard', 'Amherst']
['W', 'Penn State', 'Franklin & Marshall']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Rutgers', 'Stevens']
['W', 'Springfield', 'Massachusetts']
['W', 'Trinity (CT)', 'Columbia']
['W', 'Williams', 'Dartmouth']
['T', 'Springfield', 'Amherst']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Rutgers', 'Columbia']
['W', 'Amherst', 'Massachusetts']
['W', 'Dickinson', 'Haverford']
['W', 'Harvard', 'Springfield']
['W', 'MIT', 'Brown']
['W', 'Navy', 'Rutgers']
['W', 'Pennsylvania', 'Trinity (CT)']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Williams', 'Stevens']
['W', 'Yale', 'Lehigh']
['W', 'Amherst', 'Springfield']
['W', 'Dartmouth', 'Stevens']
['W', 'Harvard', 'Wesleyan (CT)']
['W', 'Lehigh', 'Lafayette']
['W', 'Amherst', 'MIT']
['W', 'Army', 'Stevens']
['W', 'Bucknell', 'Penn State']
['W', 'Cornell', 'Lehigh']
['W', 'Franklin & Marshall', 'Haverford']
['W', 'Harvard', 'Springfield']
['W', 'Princeton', 'Pennsylvania']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Harvard', 'Trinity (CT)']
['W', 'Lehigh', 'Lafayette']
['W', 'Yale', 'Amherst']
['W', 'Amherst', 'Stevens']
['W', 'Bucknell', 'Haverford']
['W', 'Dartmouth', 'MIT']
['W', 'Navy', 'Dickinson']
['W', 'Princeton', 'Cornell']
['W', 'Rutgers', 'Army']
['W', 'Williams', 'Brown']
['W', 'Yale', 'Pennsylvania']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Williams', 'Springfield']
['W', 'Amherst', 'Massachusetts']
['T', 'Dickinson', 'Bucknell']
['W', 'Lafayette', 'Navy']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Williams', 'MIT']
['W', 'Yale', 'Harvard']
['W', 'Lehigh', 'Lafayette']
['W', 'Pennsylvania', 'Wesleyan (CT)']
['W', 'Franklin & Marshall', 'Bucknell']
['W', 'MIT', 'Stevens']
['W', 'Yale', 'Princeton']
['W', 'Army', 'Navy']
['W', 'Penn State', 'Haverford']
['W', 'Harvard', 'Dartmouth']
['W', 'MIT', 'Amherst']
['W', 'Princeton', 'Rutgers']
['W', 'Trinity (CT)', 'Massachusetts']
['W', 'Amherst', 'Williams']
['W', 'Princeton', 'Lehigh']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Dartmouth', 'Springfield']
['W', 'Harvard', 'Amherst']
['W', 'MIT', 'Trinity (CT)']
['W', 'Princeton', 'Lafayette']
['W', 'Purdue', 'Illinois']
['T', 'Army', 'Wesleyan (CT)']
['W', 'Amherst', 'Massachusetts']
['T', 'Illinois', 'Northwestern']
['W', 'Pennsylvania', 'Navy']
['W', 'Yale', 'Williams']
['W', 'Amherst', 'Trinity (CT)']
['W', 'Harvard', 'Williams']
['W', 'Michigan', 'Wisconsin']
['W', 'MIT', 'Brown']
['W', 'Princeton', 'Navy']
['W', 'Rutgers', 'Lafayette']
['W', 'Wesleyan (CT)', 'Springfield']
['W', 'Minnesota', 'Michigan']
['W', 'Princeton', 'Lehigh']
['W', 'Purdue', 'Wisconsin']
['W', 'Tufts', 'Wesleyan (CT)']
['W', 'Yale', 'Amherst']
['W', 'Pennsylvania', 'Williams']
['W', 'Amherst', 'Massachusetts']
['W', 'Cornell', 'Lehigh']
['W', 'Navy', 'Lafayette']
['T', 'Chicago', 'Northwestern']
['W', 'Tufts', 'Brown']
['W', 'Purdue', 'Michigan']
['W', 'Dartmouth', 'Wesleyan (CT)']
['W', 'Pennsylvania', 'Lafayette']
['W', 'Tufts', 'Amherst']
['W', 'Yale', 'Springfield']
['W', 'Army', 'Trinity (CT)']
['W', 'Cornell', 'Williams']
['W', 'Harvard', 'MIT']
['W', 'Lafayette', 'Rutgers']
['W', 'Minnesota', 'Wisconsin']
['W', 'Northwestern', 'Michigan']
['W', 'Princeton', 'Wesleyan (CT)']
['W', 'Yale', 'Tufts']
['W', 'Harvard', 'Amherst']
['W', 'MIT', 'Brown']
['W', 'Northwestern', 'Chicago']
['W', 'Amherst', 'Massachusetts']
['W', 'Dartmouth', 'Tufts']
['W', 'Harvard', 'Cornell']
['W', 'Lafayette', 'Lehigh']
['W', 'Navy', 'Rutgers']
['W', 'Pennsylvania', 'Princeton']
['T', 'Brown', 'Trinity (CT)']
['W', 'Yale', 'Wesleyan (CT)']
['W', 'Cornell', 'Michigan']
['W', 'Minnesota', 'Northwestern']
['W', 'Pennsylvania', 'Lehigh']
['W', 'Amherst', 'MIT']
['W', 'Amherst', 'Trinity (CT)']
